요양기관명	*	주소	*	전화번호	*	좌표(X)	*	좌표(Y)
의료법인 은성의료재단 좋은삼선병원	*	부산광역시 사상구 가야대로 326, 좋은삼선병원 (주례동)	*	051-322-0900	*	129.0082463	*	35.150416
의료법인 인당의료재단 부민병원	*	부산광역시 북구 만덕대로 59, (덕천동)	*	051-330-3000	*	129.0112115	*	35.2119276
의료법인 인당의료재단 해운대부민병원	*	부산광역시 해운대구 해운대로 584, 해운대 부민병원 지하4~지상13층 (우동)	*	602-8000	*	129.1556545	*	35.1614208
의료법인 행도의료재단 해동병원	*	부산광역시 영도구 태종로 133, (봉래동3가)	*	051-412-6161	*	129.043866	*	35.0919442
의료법인정화의료재단 봉생기념병원	*	부산광역시 동구 중앙대로 401, (좌천동, 봉생병원)	*	051-664-4000	*	129.0501907	*	35.1310265
인제대학교 해운대백병원	*	부산광역시 해운대구 해운대로 875, (좌동)	*	051-797-0100	*	129.182013	*	35.173443
인제대학교부산백병원	*	부산광역시 부산진구 복지로 75, 진사로83번길 75, 진사로83번길 81, 1층(일부), 3층 (개금동)	*	051-890-6114	*	129.0208925	*	35.1461809
재단법인일신기독교선교회 일신기독병원	*	부산광역시 동구 정공단로 27, (좌천동)	*	051-630-0300	*	129.0543811	*	35.135783
재단법인천주교부산교구유지재단 메리놀병원	*	부산광역시 중구 중구로 121, (대청동4가)	*	051-465-8801	*	129.0324148	*	35.1076838
좋은문화병원	*	부산광역시 동구 범일로 119, (범일동)	*	051-644-2002	*	129.0590919	*	35.1408881
학교법인 춘해병원	*	부산광역시 부산진구 중앙대로 605, 지상1층~지상9층 (범천동)	*	051-638-8000	*	129.0583786	*	35.1469602
학교법인)동의병원	*	부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)	*	051-867-5101	*	129.076514	*	35.1698202
한국보훈복지의료공단 부산보훈병원	*	부산광역시 사상구 백양대로 420, (주례동)	*	051-601-6000	*	129.006575	*	35.1533821
가톨릭대학교 여의도성모병원	*	서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)	*	1661-7575	*	126.9367517	*	37.5183253
가톨릭대학교 은평성모병원	*	서울특별시 은평구 통일로 1021, (진관동)	*	02-1811-7755	*	126.9161912	*	37.6334945
강남베드로병원	*	서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)	*	1544-7522	*	127.0396045	*	37.4856196
강동경희대학교병원	*	서울특별시 강동구 동남로 892, (상일동)	*	02-440-7114	*	127.1576732	*	37.553536
강북삼성병원	*	서울특별시 종로구 새문안로 29, (평동)	*	02-2001-2001	*	126.96775	*	37.5684083
건국대학교병원	*	서울특별시 광진구 능동로 120-1, (화양동)	*	1588-1533	*	127.0718276	*	37.5403764
경찰병원	*	서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)	*	02-3400-1114	*	127.1235089	*	37.4963836
경희대학교병원	*	서울특별시 동대문구 경희대로 23, (회기동)	*	02-958-8114	*	127.051852	*	37.5941195
고려대학교의과대학부속구로병원	*	서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)	*	02-2626-1114	*	126.8848701	*	37.492052
구로성심병원	*	서울특별시 구로구 경인로 427, 구로성심병원 (고척동)	*	02-2067-1500	*	126.8664159	*	37.4996715
국립중앙의료원	*	서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)	*	02-2260-7114	*	127.005671	*	37.5672138
기쁨병원	*	서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)	*	02-570-1234	*	127.0180814	*	37.4827157
노원을지대학교병원	*	서울특별시 노원구 한글비석로 68, 을지병원 (하계동)	*	02-970-8000	*	127.0699354	*	37.6364793
녹색병원	*	서울특별시 중랑구 사가정로49길 53, (면목동)	*	02-490-2000	*	127.0860738	*	37.5835731
대림성모병원	*	서울특별시 영등포구 시흥대로 657, (대림동, 대림성모병원)	*	02-829-9000	*	126.9072208	*	37.4906979
명지성모병원	*	서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)	*	02-1899-1475	*	126.8992626	*	37.4938623
미즈메디병원	*	서울특별시 강서구 강서로 295, (내발산동)	*	02-2007-1000	*	126.8359357	*	37.5522178
부민병원	*	서울특별시 강서구 공항대로 389, 부민병원 (등촌동)	*	1577-7582	*	126.8509273	*	37.556866
삼성서울병원	*	서울특별시 강남구 일원로 81, (일원동, 삼성의료원)	*	02-3410-2114	*	127.0851508	*	37.4882977
삼육서울병원	*	서울특별시 동대문구 망우로 82, (휘경동)	*	02-2244-0191	*	127.0653065	*	37.5879909
서울대학교병원	*	서울특별시 종로구 대학로 101, (연건동)	*	1588-5700	*	126.9990168	*	37.5797151
서울성심병원	*	서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)	*	02-966-1616	*	127.0497296	*	37.5843076
서울적십자병원	*	서울특별시 종로구 새문안로 9, 적십자병원 (평동)	*	02-2002-8000	*	126.9669974	*	37.5671805
서울특별시 동부병원	*	서울특별시 동대문구 무학로 124, (용두동)	*	02-920-9114	*	127.0313409	*	37.5753681
서울특별시보라매병원	*	서울특별시 동작구 보라매로5길 20, (신대방동)	*	02-870-2114	*	126.9239058	*	37.4934414
서울특별시서남병원	*	서울특별시 양천구 신정이펜1로 20, (신정동)	*	1566-6688	*	126.8331531	*	37.5120195
서울특별시서울의료원	*	서울특별시 중랑구 신내로 156, (신내동)	*	02-2276-7000	*	127.0978309	*	37.6132762
서울현대병원	*	서울특별시 강북구 도봉로 374, (번동, 서울현대병원)	*	1588-6853	*	127.0285199	*	37.6402555
성심의료재단강동성심병원	*	서울특별시 강동구 성안로 150, (길동)	*	02-2224-2114	*	127.135378	*	37.5359971
성애의료재단 성애병원	*	서울특별시 영등포구 여의대방로53길 22, (신길동, 성애병원)	*	02-840-7114	*	126.9225003	*	37.5120274
세란병원	*	서울특별시 종로구 통일로 256, (무악동)	*	02-737-0181	*	126.9574606	*	37.5751835
순천향대학교 부속 서울병원	*	서울특별시 용산구 대사관로 59, (한남동)	*	02-709-9114	*	127.0042579	*	37.533804
씨엠병원	*	서울특별시 영등포구 영등포로36길 13, (영등포동4가, 충무병원)	*	02-2678-0001	*	126.9041862	*	37.5188597
연세대학교의과대학 강남세브란스병원	*	서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)	*	02-2019-3114	*	127.0462683	*	37.4929296
연세대학교의과대학세브란스병원	*	서울특별시 서대문구 연세로 50-1, (신촌동)	*	02-2228-0114	*	126.9408265	*	37.5623446
우리들병원	*	서울특별시 강서구 하늘길 70, (과해동)	*	02-2660-7500	*	126.7963265	*	37.5620454
의료법인 청구성심병원	*	서울특별시 은평구 통일로 873, (갈현동)	*	02-350-3300	*	126.9197006	*	37.6208615
의료법인동신의료재단 동신병원	*	서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)	*	02-396-9161	*	126.9364251	*	37.5813323
의료법인서울효천의료재단 에이치플러스양지병원	*	서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)	*	02-1877-8875	*	126.9325692	*	37.4841536
의료법인성화의료재단  대한병원	*	서울특별시 강북구 도봉로 301, (수유동, 대한병원)	*	02-903-3232	*	127.0226914	*	37.6354747
의료법인풍산의료재단동부제일병원	*	서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)	*	02-437-5011	*	127.1090094	*	37.6007085
의료법인한전의료재단 한일병원	*	서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)	*	02-901-3114	*	127.0291228	*	37.6461401
이화여자대학교의과대학부속목동병원	*	서울특별시 양천구 안양천로 1071, (목동)	*	02-2650-5114	*	126.8862043	*	37.536602
이화여자대학교의과대학부속서울병원	*	서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)	*	1522-7000	*	126.8362668	*	37.5572629
인제대학교 상계백병원	*	서울특별시 노원구 동일로 1342, 상계백병원 (상계동)	*	02-950-1114	*	127.0629909	*	37.6485408
재단법인베스티안재단베스티안서울병원	*	서울특별시 성동구 왕십리로 382, (하왕십리동)	*	02-3452-7575	*	127.0280199	*	37.5651103
재단법인아산사회복지재단 서울아산병원	*	서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)	*	02-3010-3114	*	127.107935	*	37.5265762
중앙대학교병원	*	서울특별시 동작구 흑석로 102, (흑석동)	*	1800-1114	*	126.9607839	*	37.5067481
차의과학대학교 강남차병원	*	서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)	*	02-3468-3000	*	127.0345427	*	37.5067005
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원)	*	서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)	*	1577-0083	*	127.0263537	*	37.5870165
학교법인가톨릭학원가톨릭대학교서울성모병원	*	서울특별시 서초구 반포대로 222, (반포동)	*	02-1588-1511	*	127.0051154	*	37.5009444
한국보훈복지의료공단 중앙보훈병원	*	서울특별시 강동구 진황도로61길 53, (둔촌동)	*	02-2225-1111	*	127.1478691	*	37.5303393
한국원자력의학원원자력병원	*	서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)	*	02-970-2114	*	127.0824198	*	37.6288667
한림대학교 강남성심병원	*	서울특별시 영등포구 신길로 1, (대림동, 강남성심병원)	*	02-829-5114	*	126.9086527	*	37.4937262
한림대학교 한강성심병원	*	서울특별시 영등포구 버드나루로7길 12, (영등포동7가, 한강성심병원)	*	02-2639-5114	*	126.9096811	*	37.5231702
한양대학교병원	*	서울특별시 성동구 왕십리로 222-1, (사근동)	*	02-2290-8114	*	127.0441339	*	37.5596569
혜민병원	*	서울특별시 광진구 자양로 85, (자양동)	*	02-2049-9000	*	127.0836246	*	37.5354079
홍익병원	*	서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)	*	02-2693-5555	*	126.8636551	*	37.5284838
희명병원	*	서울특별시 금천구 시흥대로 244, (시흥동)	*	02-804-0002	*	126.9005836	*	37.4556869
세종충남대학교병원	*	세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)	*	1800-3114	*	127.2579427	*	36.5195133
의료법인 영제 의료재단 엔케이세종병원	*	세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)	*	044-850-7700	*	127.2622579	*	36.4796231
서울산보람병원	*	울산광역시 울주군 삼남읍 중평로 53, 서울산보람병원	*	052-255-7114	*	129.1210036	*	35.5597987
울산병원	*	울산광역시 남구 월평로171번길 13, (신정동)	*	052-259-5000	*	129.3231103	*	35.5462648
울산엘리야병원	*	울산광역시 북구 호계로 285, (호계동)	*	052-290-2100	*	129.3505372	*	35.6288626
의료법인 동강의료재단 동강병원	*	울산광역시 중구 태화로 239, (태화동)	*	052-241-1114	*	129.3019631	*	35.553426
의료법인 동강의료재단 동천동강병원	*	울산광역시 중구 외솔큰길 215, (남외동, 동천동강병원)	*	052-702-3114	*	129.3504382	*	35.568536
의료법인 송은의료재단 울산시티병원	*	울산광역시 북구 산업로 1007, (연암동)	*	052-280-9000	*	129.3590343	*	35.5828446
의료법인 은성의료재단 좋은삼정병원	*	울산광역시 남구 북부순환도로 51, (무거동)	*	052-220-7500	*	129.2688242	*	35.5528955
의료법인 정안의료재단 중앙병원	*	울산광역시 남구 문수로 472, 중앙병원 (신정동)	*	052-226-1100	*	129.3046446	*	35.5322423
학교법인 울산공업학원 울산대학교병원	*	울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)	*	052-250-7000	*	129.4289116	*	35.5200702
(의)나사렛의료재단 나사렛국제병원	*	인천광역시 연수구 먼우금로 98,  (동춘동)	*	032-899-9999	*	126.6704928	*	37.407958
(의)성세의료재단 뉴성민병원	*	인천광역시 서구 신석로 70, (석남동)	*	032-726-1000	*	126.6698519	*	37.5097753
가톨릭관동대학교 국제성모병원	*	인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원	*	032-1600-8291	*	126.6835685	*	37.5423431
가톨릭대학교인천성모병원	*	인천광역시 부평구 동수로 56, (부평동)	*	032-1544-9004	*	126.7248987	*	37.4848309
검단탑병원	*	인천광역시 서구 청마로19번길 5, (당하동)	*	032-590-0114	*	126.6711792	*	37.5924835
근로복지공단인천병원	*	인천광역시 부평구 무네미로 446, (구산동)	*	032-500-0114	*	126.7536333	*	37.4767018
부평세림병원	*	인천광역시 부평구 부평대로 175,  (청천동)	*	032-524-0591	*	126.7199858	*	37.506872
비에스종합병원	*	인천광역시 강화군 강화읍 충렬사로 31-0,	*	032-290-0001	*	126.4859916	*	37.7360483
온누리병원	*	인천광역시 서구 완정로 199, 199	*	032-567-6200	*	126.6543363	*	37.6027927
의료법인 길의료재단 길병원	*	인천광역시 남동구 남동대로774번길 21-0, 의료법인길의료재단길병원	*		*	126.7092258	*	37.452171
의료법인 성수의료재단 인천백병원	*	인천광역시 동구 샛골로 214- , (송림동)	*	032-765-7070	*	126.6458376	*	37.4817037
의료법인 인천사랑병원	*	인천광역시 미추홀구 미추홀대로 726-0, 인천사랑병원	*	032-457-2000	*	126.6807094	*	37.462204
의료법인루가의료재단 나은병원	*	인천광역시 서구 원적로 23, 23	*	032-584-0114	*	126.6797292	*	37.4890717
인천광역시의료원	*	인천광역시 동구 방축로 217, 217	*	032-580-6000	*	126.66875	*	37.4787429
인천기독병원	*	인천광역시 중구 답동로30번길 10, (율목동)	*	032-270-8000	*	126.6321217	*	37.4712157
인천세종병원	*	인천광역시 계양구 계양문화로 20-0, 인천세종병원	*	032-240-8000	*	126.7368717	*	37.5324735
인천적십자병원	*	인천광역시 연수구 원인재로 263, (연수동)	*	032-899-4000	*	126.6896544	*	37.4184945
인천힘찬종합병원	*	인천광역시 남동구 논현로 72-0, 인천힘찬종합병원	*	032-1899-2220	*	126.7147129	*	37.4011109
인하대학교의과대학부속병원	*	인천광역시 중구 인항로 27-0, 인하대학병원	*	032-890-2114	*	126.6340954	*	37.4586786
한림병원	*	인천광역시 계양구 장제로 722, (작전동)	*	032-540-9114	*	126.7343513	*	37.5320982
현대유비스병원	*	인천광역시 미추홀구 독배로 503-0, 현대유비스병원	*	032-888-7575	*	126.6429995	*	37.4615989
광양사랑병원	*	전라남도 광양시 공영로 71,  (중동)	*	061-797-7000	*	127.6969657	*	34.9361846
근로복지공단 순천병원	*	전라남도 순천시 조례1길 24, (조례동)	*	061-720-7575	*	127.5249267	*	34.9611351
나주종합병원	*	전라남도 나주시 영산로 5419, 나주종합병원	*	061-330-6114	*	126.7213974	*	35.0363158
목포기독병원	*	전라남도 목포시 백년대로 303,  (상동)	*	061-280-7500	*	126.4205999	*	34.8045332
목포시의료원	*	전라남도 목포시 이로로 18,  (용해동)	*	061-260-6500	*	126.4053626	*	34.8039838
목포한국병원	*	전라남도 목포시 영산로 483,  (상동)	*	061-270-5800	*	126.4162693	*	34.809382
빛가람종합병원	*	전라남도 나주시 정보화길 49-0,  (빛가람동)	*	061-820-0820	*	126.7987186	*	35.0242155
성가롤로병원	*	전라남도 순천시 순광로 221,  (조례동)	*	061-720-2000	*	127.5437073	*	34.9647333
순천중앙병원	*	전라남도 순천시 장명로 5,  (장천동)	*	061-749-5000	*	127.4844458	*	34.9514574
여수전남병원	*	전라남도 여수시 좌수영로 49,  (광무동)	*	061-640-7128	*	127.7280181	*	34.7450673
여천전남병원	*	전라남도 여수시 무선로 95,  (선원동)	*	061-690-6000	*	127.6543239	*	34.7691121
영광종합병원	*	전라남도 영광군 영광읍 와룡로 3, (영광읍)	*	061-350-8091	*	126.4989779	*	35.2844615
의료법인 우범의료재단 장흥종합병원	*	전라남도 장흥군 장흥읍 흥성로 74, 74	*	061-862-8300	*	126.9109162	*	34.6771314
의료법인거명의료재단 영광기독병원	*	전라남도 영광군 영광읍 신남로 265, (영광읍)	*	061-350-3000	*	126.5108768	*	35.2749379
의료법인대송의료재단 무안병원	*	전라남도 무안군 무안읍 몽탄로 65, (무안읍)	*	061-450-3111	*	126.4893984	*	34.9916301
의료법인목포구암의료재단 목포중앙병원	*	전라남도 목포시 영산로 623,  (석현동)	*	061-280-3000	*	126.4210249	*	34.8213916
의료법인영성의료재단 고흥종합병원	*	전라남도 고흥군 고흥읍 고흥로 1935, (고흥읍)	*	061-835-6000	*	127.2939625	*	34.6210654
의료법인청언의료재단 순천제일병원	*	전라남도 순천시 기적의도서관1길 3,  (조례동)	*	061-720-3500	*	127.524175	*	34.9549262
의료법인한국의료재단 순천한국병원	*	전라남도 순천시 우명길 42,  (연향동)	*	061-740-5000	*	127.5122885	*	34.9477666
의료법인한마음의료재단 여수제일병원	*	전라남도 여수시 쌍봉로 70,  (학동)	*	061-689-8123	*	127.6635449	*	34.7659726
의료법인해민의료재단 세안종합병원	*	전라남도 목포시 고하대로 795-2, (연산동)	*	061-260-6700	*	126.380233	*	34.8168191
의료법인행촌의료재단 해남종합병원	*	전라남도 해남군 해남읍 해남로 45, (해남읍)	*	061-536-4116	*	126.6127914	*	34.5717971
의료법인현경의료재단 광양서울병원	*	전라남도 광양시 진등길 93,  (마동)	*	061-795-9931	*	127.6905821	*	34.9579361
전라남도 강진의료원	*	전라남도 강진군 강진읍 탐진로 5, (강진읍)	*	061-433-2167	*	126.7578653	*	34.6368113
전라남도 순천의료원	*	전라남도 순천시 서문성터길 2,  (매곡동)	*	061-759-9440	*	127.483468	*	34.9579097
해남우리종합병원	*	전라남도 해남군 옥천면 해남로 597, (옥천면)	*	061-530-7000	*	126.6465632	*	34.584252
화순전남대학교병원	*	전라남도 화순군 화순읍 서양로 322, (화순읍)	*	061-379-7114	*	127.0025	*	35.0594333
대자인병원	*	전북특별자치도 전주시 덕진구 견훤로 390, (우아동3가)	*	063-240-2000	*	127.1534706	*	35.8459659
부안성모병원	*	전북특별자치도 부안군 부안읍 오정2길 24, (부안읍)	*	063-581-5100	*	126.7345709	*	35.7248401
원광대학교병원	*	전북특별자치도 익산시 무왕로 895, (신동)	*	063-859-1114	*	126.9595793	*	35.9646389
의료법인 오성의료재단 동군산병원	*	전북특별자치도 군산시 조촌로 149,  (조촌동)	*	063-440-0300	*	126.737162	*	35.9774829
의료법인석천재단고창병원	*	전북특별자치도 고창군 고창읍 화신1길 9, (고창읍)	*	063-560-5600	*	126.6933531	*	35.4364278
의료법인영경의료재단전주병원	*	전북특별자치도 전주시 완산구 한두평3길 13, (중화산동2가, 전주병원)	*	063-220-7200	*	127.1248245	*	35.8152645
익산병원	*	전북특별자치도 익산시 무왕로 969, (신동)	*	063-840-9114	*	126.9665158	*	35.9616504
재단법인 아산사회복지재단 정읍아산병원	*	전북특별자치도 정읍시 충정로 606-22, (용계동)	*	063-530-6000	*	126.8234125	*	35.5888321
재단법인예수병원유지재단예수병원	*	전북특별자치도 전주시 완산구 서원로 365, (중화산동1가, 예수병원)	*	063-230-8114	*	127.1332292	*	35.8143916
전북대학교병원	*	전북특별자치도 전주시 덕진구 건지로 20,  (금암동)	*	063-250-1129	*	127.1411626	*	35.8470974
전북특별자치도 군산의료원	*	전북특별자치도 군산시 의료원로 27, (지곡동, 군산의료원)	*	063-472-5000	*	126.7117406	*	35.9549526
전북특별자치도 남원의료원	*	전북특별자치도 남원시 충정로 365, (고죽동)	*	063-620-1114	*	127.4073171	*	35.4318755
전주고려병원	*	전북특별자치도 전주시 덕진구 안덕원로 367, (산정동)	*	063-240-7300	*	127.1670378	*	35.8398807
정읍한국병원	*	전북특별자치도 정읍시 서부산업도로 425-12,  1동 (농소동,한국병원)	*	063-701-8000	*	126.8515587	*	35.5843414
의료법인 중앙의료재단 중앙병원	*	제주특별자치도 제주시 월랑로 91-0, 중앙병원	*	064-786-7000	*	126.470529	*	33.4923256
의료법인 혜인의료재단 한국병원	*	제주특별자치도 제주시 서광로 193, (삼도일동)	*	064-750-0000	*	126.517062	*	33.500233
제주대학교병원	*	제주특별자치도 제주시 아란13길 15-0,  0동 0층 0호 (아라일동,제주대학교병원)	*	064-717-1114	*	126.5452109	*	33.4671105
제주특별자치도 서귀포의료원	*	제주특별자치도 서귀포시 장수로 47, (동홍동)	*	064-730-3000	*	126.5639215	*	33.2555354
제주한라병원	*	제주특별자치도 제주시 도령로 65,  (연동)	*	064-740-5000	*	126.4850403	*	33.4899609
한마음병원	*	제주특별자치도 제주시 연신로 52, (이도이동)	*	064-750-9000	*	126.5462386	*	33.4962868
단국대학교의과대학부속병원	*	충청남도 천안시 동남구 망향로 201,  (안서동)	*	041-1588-0063	*	127.172575	*	36.8415904
당진종합병원	*	충청남도 당진시 반촌로 5-15,  (시곡동)	*	041-357-0100	*	126.6844489	*	36.9044002
서산중앙병원	*	충청남도 서산시 수석산업로 5, (수석동)	*	041-661-1000	*	126.5034636	*	36.7810108
순천향대학교부속 천안병원	*	충청남도 천안시 동남구 순천향6길 31,  5동 (봉명동,순천향대학교병원)	*	041-570-2114	*	127.1358588	*	36.8027381
아산충무병원	*	충청남도 아산시 문화로 381,  (모종동)	*	041-536-6666	*	127.0198062	*	36.7792647
의료법인 백제병원	*	충청남도 논산시 시민로294번길 14,  (취암동)	*	041-733-2191	*	127.0944739	*	36.1921929
의료법인 영서의료재단 천안충무병원	*	충청남도 천안시 서북구 다가말3길 8,  (쌍용동)	*	041-570-7555	*	127.1314943	*	36.7974082
의료법인 예당의료재단 예산종합병원	*	충청남도 예산군 예산읍 금오대로 94, (예산읍)	*	041-330-4000	*	126.8379717	*	36.6910744
재단법인 아산사회복지재단 부속 보령아산병원	*	충청남도 보령시 죽성로 136,  (죽정동)	*	041-930-5114	*	126.6228522	*	36.3811282
충청남도 공주의료원	*	충청남도 공주시 무령로 77,  (웅진동)	*	041-962-1111	*	127.1094955	*	36.4588777
충청남도 서산의료원	*	충청남도 서산시 중앙로 149,  (석림동)	*	041-689-7000	*	126.4652578	*	36.7755835
충청남도 천안의료원	*	충청남도 천안시 동남구 충절로 537,  (삼룡동)	*	041-570-7200	*	127.1794126	*	36.7754908
충청남도 홍성의료원	*	충청남도 홍성군 홍성읍 조양로 224, (홍성읍)	*	041-630-6114	*	126.6743787	*	36.5992203
건국대학교 충주병원	*	충청북도 충주시 국원대로 82-0, 건국대학교충주병원	*	043-840-8200	*	127.9288169	*	36.9789801
국립소방병원	*	충청북도 음성군 맹동면 용두4길 19-0, 국립소방병원	*	043-931-3362	*	127.5526368	*	36.9043425
의료법인 건명의료재단 중앙제일병원	*	충청북도 진천군 진천읍 중앙북로 36-0, 진천성모병원	*	043-533-1711	*	127.4404044	*	36.8585629
의료법인 명지의료재단 명지병원	*	충청북도 제천시 내토로 991-0, 의료법인명지의료재단명지병원	*	043-640-8114	*	128.2339509	*	37.1634681
의료법인 인화재단 한국병원	*	충청북도 청주시 상당구 단재로 106-0, 한국병원	*	043-222-7000	*	127.496538	*	36.619507
의료법인 자산의료재단 제천서울병원	*	충청북도 제천시 숭문로 57-0, 서울병원	*	043-640-7600	*	128.2062355	*	37.138611
의료법인 정산의료재단 효성병원	*	충청북도 청주시 상당구 쇠내로 16-0, 효성병원	*	043-221-5000	*	127.4953372	*	36.6244786
의료법인 힐링의료재단 옥천성모병원	*	충청북도 옥천군 옥천읍 성왕로 1195-0,	*	043-730-7000	*	127.5720099	*	36.3133286
의료법인한마음의료재단하나병원	*	충청북도 청주시 흥덕구 2순환로 1262-0, 하나병원	*	043-230-6114	*	127.4308626	*	36.6235046
재단법인베스티안재단베스티안병원	*	충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0, (오송읍)	*	043-910-7575	*	127.3216409	*	36.6364294
청주성모병원	*	충청북도 청주시 청원구 주성로 173-19, 청주성모병원	*	043-219-8000	*	127.4856545	*	36.6737973
충북대학교병원	*	충청북도 청주시 서원구 1순환로 776-0, 충북대학교병원	*	043-269-6114	*	127.4614843	*	36.6242237
충청북도 청주의료원	*	충청북도 청주시 서원구 흥덕로 48-0, 청주의료원	*	043-279-2300	*	127.4730326	*	36.6402026
충청북도 충주의료원	*	충청북도 충주시 안림로 239-50, 충청북도충주의료원	*	043-871-0114	*	127.9706116	*	36.9796506
